	Origin	Destination	ShortName	TimeRetr	Route	Dist	CurrentTime	TimeRange	url	nDist	nTime
48	6	21	Sky	2015-08-13 15:57:04.579961	I-90 E	59.4 miles	1 h 42 min	1 h 10 min - 2 h 19 min	https://www.google.com/maps/dir/1803+Freedom+Dr,+Naperville,+IL+60563/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6434575,-87.588063,73280m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880e56f521b60a85:0x3e03eb88f00fed78!2m2!1d-88.1267321!2d41.8038172!3m4!1m2!1d-87.8064589!2d41.8736858!3s0x880e34e5fcbcbf55:0x1fe4d27c770a3127!3m4!1m2!1d-87.5195057!2d41.6663151!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	59.4	102
61	6	21	BF_DR	2015-08-13 15:57:11.826197	I-55 N and I-94 E	68.4 miles	1 h 59 min	1 h 23 min - 2 h 49 min	https://www.google.com/maps/dir/1803+Freedom+Dr,+Naperville,+IL+60563/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.7912426,-87.6760889,43608m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e56f521b60a85:0x3e03eb88f00fed78!2m2!1d-88.1267321!2d41.8038172!3m4!1m2!1d-87.5831642!2d41.6045995!3s0x880e21b215cb5527:0xe384629c3b5917f5!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!2m1!2b1!3e0	68.4	119
98	6	21	TRI	2015-08-13 15:57:32.864757	I-294 S	55.7 miles	1 h 2 min	55 min - 1 h 18 min	https://www.google.com/maps/dir/1803+Freedom+Dr,+Naperville,+IL+60563/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.5498174,-87.6059394,73317m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e56f521b60a85:0x3e03eb88f00fed78!2m2!1d-88.1267321!2d41.8038172!3m4!1m2!1d-87.7252495!2d41.6518305!3s0x880e3c9b13abcd19:0x3ca3c2c7bf9d6fca!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	55.7	62
57	6	22	TRI	2015-08-13 15:57:09.654260	I-294 S	57.8 miles	1 h 7 min	59 min - 1 h 23 min	https://www.google.com/maps/dir/1803+Freedom+Dr,+Naperville,+IL+60563/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.5901625,-87.6815242,30808m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e56f521b60a85:0x3e03eb88f00fed78!2m2!1d-88.1267321!2d41.8038172!3m4!1m2!1d-87.6819331!2d41.6084128!3s0x880e22db8fead595:0xdabd79aa1379a502!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	57.8	67
69	6	22	Sky	2015-08-13 15:57:16.332121	I-90 E	57.2 miles	1 h 34 min	1 h 4 min - 2 h 10 min	https://www.google.com/maps/dir/1803+Freedom+Dr,+Naperville,+IL+60563/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.5741523,-87.5148541,36645m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e56f521b60a85:0x3e03eb88f00fed78!2m2!1d-88.1267321!2d41.8038172!3m4!1m2!1d-87.8738089!2d41.8707252!3s0x880e4a92ae5615c9:0x53aea358eca47357!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	57.2	94
1	6	23	TRI	2015-08-13 15:56:38.153400	I-294 S	52.5 miles	1 h 3 min	56 min - 1 h 18 min	https://www.google.com/maps/dir/1803+Freedom+Dr,+Naperville,+IL+60563/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.622529,-87.7105017,25913m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e56f521b60a85:0x3e03eb88f00fed78!2m2!1d-88.1267321!2d41.8038172!3m4!1m2!1d-87.6811265!2d41.5864985!3s0x880e22a3113b6913:0x6adcc275b5776b45!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0	52.5	63
106	6	23	Sky	2015-08-13 15:57:37.343073	I-90 E	50.2 miles	1 h 25 min	1 h 2 min - 2 h 6 min	https://www.google.com/maps/dir/1803+Freedom+Dr,+Naperville,+IL+60563/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6222878,-87.5478977,25909m/data=!3m1!1e3!4m29!4m28!1m20!1m1!1s0x880e56f521b60a85:0x3e03eb88f00fed78!2m2!1d-88.1267321!2d41.8038172!3m4!1m2!1d-87.8789664!2d41.8699971!3s0x880e4af202523f7f:0x27c85d85a91b6cbe!3m4!1m2!1d-87.867566!2d41.8709018!3s0x880e4a9033ac5f9f:0x17dd1645e6cc8b89!3m4!1m2!1d-87.8441937!2d41.8711158!3s0x880e356e4b146355:0x8e14fef42c33a4a7!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0	50.2	85
28	6	25	TRI	2015-08-13 15:56:53.051993	I-294 S	86.5 miles	1 h 34 min	1 h 25 min - 1 h 52 min	https://www.google.com/maps/dir/1803+Freedom+Dr,+Naperville,+IL+60563/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6435841,-87.6452695,21814m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e56f521b60a85:0x3e03eb88f00fed78!2m2!1d-88.1267321!2d41.8038172!3m4!1m2!1d-87.6810744!2d41.5851845!3s0x880e22a3a514b61d:0x66c640a73017239a!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	86.5	94
117	6	25	Sky	2015-08-13 15:57:44.145927	I-90 E	91.7 miles	2 h 9 min	1 h 39 min - 2 h 51 min	https://www.google.com/maps/dir/1803+Freedom+Dr,+Naperville,+IL+60563/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.7019116,-87.693544,30856m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e56f521b60a85:0x3e03eb88f00fed78!2m2!1d-88.1267321!2d41.8038172!3m4!1m2!1d-87.8524483!2d41.8709061!3s0x880e3562dcf6dd2d:0x1c14841ecb4211a4!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	91.7	129
63	6	26	Sky	2015-08-13 15:57:12.995656	I-90 E	67.1 miles	1 h 44 min	1 h 14 min - 2 h 21 min	https://www.google.com/maps/dir/Freedom+Dr,+Naperville,+IL+60563/41.5881995,-87.1836656/@41.6065226,-87.5237001,11.75z/data=!4m14!4m13!1m10!1m1!1s0x880e56f4ab140e3f:0xa2bceb0e6426ab4d!2m2!1d-88.1257984!2d41.8047989!3m4!1m2!1d-87.8518324!2d41.8706843!3s0x880e35634379f097:0xd4a6e20e28177cf9!1m0!3e0	67.1	104
